"","id_ind","ind_sex","ind_age","ind_main_job_wage","ind_education_years"
"816",7,2,3,NA,0
"817",8,1,1,NA,NA
"818",9,1,0,NA,NA
"819",10,2,7,NA,NA
"820",1,2,76,NA,0
"821",2,1,12,NA,NA
"822",3,NA,NA,NA,NA
"823",4,1,17,NA,NA
"824",5,2,12,NA,NA
"825",6,1,36,NA,12
"826",7,2,35,NA,9
"827",8,2,5,NA,NA
"828",1,2,73,NA,0
"829",2,NA,NA,NA,NA
"830",3,NA,NA,NA,NA
"831",4,NA,NA,NA,NA
"832",5,NA,NA,NA,NA
"833",6,NA,NA,NA,NA
"834",7,NA,NA,NA,NA
"835",8,NA,NA,NA,NA
"836",9,NA,NA,NA,NA
"837",10,1,11,NA,NA
"838",11,NA,NA,NA,NA
"839",1,NA,NA,NA,NA
"840",2,2,56,NA,0
"841",3,NA,NA,NA,NA
"842",4,1,26,NA,7
"843",5,1,22,NA,3
"844",6,1,19,NA,4
"845",1,2,35,NA,5
"846",2,NA,NA,NA,NA
"847",3,1,7,NA,NA
"848",4,2,3,NA,0
"849",5,2,15,NA,3
"850",1,2,45,NA,0
"851",2,1,24,NA,7
"852",1,2,68,NA,0
"853",2,NA,NA,NA,NA
"854",3,1,19,NA,6
"855",4,1,20,NA,7
"856",1,1,70,NA,0
"857",2,2,37,NA,0
"858",3,1,18,NA,0
"859",4,1,16,NA,0
"860",5,1,14,NA,0
"861",6,1,12,NA,0
"862",1,2,44,NA,8
"863",2,1,16,NA,NA
"864",3,2,14,NA,NA
"865",4,1,23,NA,NA
"866",1,1,44,NA,7
"867",2,2,31,NA,4
"868",3,1,13,NA,NA
"869",4,2,8,NA,NA
"870",5,1,7,NA,NA
"871",6,1,4,NA,NA
"872",7,2,10,NA,NA
"873",1,2,68,NA,0
"874",2,NA,NA,NA,NA
"875",3,NA,NA,NA,NA
"876",1,1,74,NA,2
"877",2,2,69,NA,0
"878",3,NA,NA,NA,NA
"879",4,1,25,NA,NA
"880",5,2,17,NA,NA
"881",6,1,14,NA,NA
"882",7,2,5,NA,NA
"883",1,1,76,NA,5
"884",2,2,42,NA,0
"885",3,NA,NA,NA,NA
"886",4,2,13,NA,NA
"887",5,1,15,NA,NA
"888",6,1,13,NA,NA
"889",1,2,44,NA,12
"890",2,2,18,NA,NA
"891",3,2,12,NA,NA
"892",1,2,40,NA,5
"893",2,1,21,NA,4
"894",3,1,7,NA,NA
"895",4,1,10,NA,NA
"896",5,2,14,NA,NA
"897",1,1,64,NA,6
"898",2,2,63,NA,1
"899",3,NA,NA,NA,NA
"900",4,2,17,NA,NA
"901",5,1,14,NA,NA
"902",1,1,60,NA,7
"903",2,2,53,NA,6
"904",5,2,11,NA,NA
"905",1,1,50,NA,5
"906",2,2,43,NA,2
"907",3,1,23,NA,8
"908",4,2,21,NA,6
"909",5,1,19,NA,NA
"910",6,1,17,NA,NA
"911",7,2,15,NA,NA
"912",8,1,11,NA,NA
"913",9,1,9,NA,NA
"914",10,2,7,NA,NA
"915",11,1,2,NA,NA
"916",12,1,5,NA,0
"917",13,1,3,NA,0
"918",14,2,10,NA,NA
"919",15,2,1,NA,NA
"920",16,2,21,NA,11
"921",1,1,50,NA,7
"922",2,2,39,NA,4
"923",3,NA,NA,NA,NA
"924",4,1,20,NA,NA
"925",5,2,14,NA,NA
"926",6,2,11,NA,NA
"927",7,NA,NA,NA,NA
"928",8,2,7,NA,NA
"929",9,1,5,NA,NA
